id,original,human,partition,source
5168,CORRECT,CORRECT,Train1,HUMAN()
5253,INCORRECT,INCORRECT,Train1,HUMAN()
5290,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
5380,Mixed,CORRECT,Train1,note
5440,INCORRECT,INCORRECT,Train1,HUMAN()
5455,CORRECT,CORRECT,Train1,not_in_report
5504,CORRECT,CORRECT,Train2,not_in_report
5535,INCORRECT,INCORRECT,Train2,HUMAN()
5539,Mixed,CORRECT,Train2,note
5590,INCORRECT,INCORRECT,Train2,HUMAN()
5680,CORRECT,CORRECT,Train2,note
5740,INCORRECT,INCORRECT,Train2,HUMAN()
5813,INCORRECT,INCORRECT,Train2,HUMAN()
5827,Mixed,INCORRECT,Train2,HUMAN()
5936,CORRECT,CORRECT,Train2,not_in_report
5983,CORRECT,CORRECT,Train2,not_in_report
5991,CORRECT,CORRECT,Train2,not_in_report
5998,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6018,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6060,INCORRECT,INCORRECT,Train2,HUMAN()
6086,INCORRECT,INCORRECT,Train2,HUMAN()
6100,INCORRECT,INCORRECT,Train2,HUMAN()
6205,CORRECT,CORRECT,Train2,not_in_report
6237,Mixed,CORRECT,Train2,HUMAN()
6275,CORRECT,CORRECT,Train2,not_in_report
6342,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6488,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6607,INCORRECT,INCORRECT,Train2,HUMAN()
6731,CORRECT,CORRECT,Train2,not_in_report
6768,CORRECT,CORRECT,Train2,not_in_report
6855,Mixed,CORRECT,Train2,HUMAN()
6861,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
7133,Mixed,UNANSWERABLE,Train2,HUMAN()
7135,Mixed,UNANSWERABLE,Train2,HUMAN()
7498,INCORRECT,INCORRECT,Train2,bare_verdict
7533,INCORRECT,INCORRECT,Train2,HUMAN()
7556,INCORRECT,INCORRECT,Train2,HUMAN()
7588,Mixed,INCORRECT,Train2,HUMAN()
7614,CORRECT,PARTIALLY_CORRECT,Train2,HUMAN_noparen
7748,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
7850,Mixed,CORRECT,Train2,not_in_report
8070,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8074,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8082,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8128,CORRECT,CORRECT,Train2,not_in_report
8376,INCORRECT,INCORRECT,Train2,HUMAN_noparen
8391,INCORRECT,INCORRECT,Train2,HUMAN_noparen
8454,Mixed,UNANSWERABLE,Train2,HUMAN()
8471,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8625,Mixed,CORRECT,Train2,HUMAN()
8633,Mixed,CORRECT,Train2,HUMAN_noparen
8651,INCORRECT,INCORRECT,Train2,HUMAN()
